Condition,Bearing,Sample,HI,IsTest
35Hz12kN,Bearing1_1,0,0.9981680359853197,False
35Hz12kN,Bearing1_1,1,0.9977509492320857,False
35Hz12kN,Bearing1_1,2,0.9971445523856062,False
35Hz12kN,Bearing1_1,3,0.9953851662211859,False
35Hz12kN,Bearing1_1,4,0.9940916533590463,False
35Hz12kN,Bearing1_1,5,0.9930111834643437,False
35Hz12kN,Bearing1_1,6,0.9920300798736175,False
35Hz12kN,Bearing1_1,7,0.9910470257850786,False
35Hz12kN,Bearing1_1,8,0.990220375197668,False
35Hz12kN,Bearing1_1,9,0.9890878767893809,False
35Hz12kN,Bearing1_1,10,0.9876608281686579,False
35Hz12kN,Bearing1_1,11,0.9858229134467147,False
35Hz12kN,Bearing1_1,12,0.984555540005316,False
35Hz12kN,Bearing1_1,13,0.9836652033639565,False
35Hz12kN,Bearing1_1,14,0.983052257379299,False
35Hz12kN,Bearing1_1,15,0.9821696108735353,False
35Hz12kN,Bearing1_1,16,0.9820561113394952,False
35Hz12kN,Bearing1_1,17,0.9819537259319912,False
35Hz12kN,Bearing1_1,18,0.9818132924839839,False
35Hz12kN,Bearing1_1,19,0.9808829491988773,False
35Hz12kN,Bearing1_1,20,0.9812781183313717,False
35Hz12kN,Bearing1_1,21,0.9806832182544862,False
35Hz12kN,Bearing1_1,22,0.979719543444016,False
35Hz12kN,Bearing1_1,23,0.9790698035976402,False
35Hz12kN,Bearing1_1,24,0.9786343525605575,False
35Hz12kN,Bearing1_1,25,0.9770699591924258,False
35Hz12kN,Bearing1_1,26,0.9770185935195297,False
35Hz12kN,Bearing1_1,27,0.9758944512070202,False
35Hz12kN,Bearing1_1,28,0.9748885082931166,False
35Hz12kN,Bearing1_1,29,0.9745837919477702,False
35Hz12kN,Bearing1_1,30,0.9747655930779942,False
35Hz12kN,Bearing1_1,31,0.974510800130363,False
35Hz12kN,Bearing1_1,32,0.9745751681984405,False
35Hz12kN,Bearing1_1,33,0.9740005966009914,False
35Hz12kN,Bearing1_1,34,0.9747139745020899,False
35Hz12kN,Bearing1_1,35,0.9738588203195524,False
35Hz12kN,Bearing1_1,36,0.9733971598448555,False
35Hz12kN,Bearing1_1,37,0.9738615120335069,False
35Hz12kN,Bearing1_1,38,0.9738149657667255,False
35Hz12kN,Bearing1_1,39,0.9737390143271419,False
35Hz12kN,Bearing1_1,40,0.97451880144487,False
35Hz12kN,Bearing1_1,41,0.975155550982711,False
35Hz12kN,Bearing1_1,42,0.9742440152483084,False
35Hz12kN,Bearing1_1,43,0.9755892868765903,False
35Hz12kN,Bearing1_1,44,0.9744552039408957,False
35Hz12kN,Bearing1_1,45,0.9738298202640252,False
35Hz12kN,Bearing1_1,46,0.973794688970892,False
35Hz12kN,Bearing1_1,47,0.9753310373181752,False
35Hz12kN,Bearing1_1,48,0.9746072271228599,False
35Hz12kN,Bearing1_1,49,0.9757541027196719,False
35Hz12kN,Bearing1_1,50,0.9761991210130102,False
35Hz12kN,Bearing1_1,51,0.9756495073938625,False
35Hz12kN,Bearing1_1,52,0.9750632901260936,False
35Hz12kN,Bearing1_1,53,0.9753537174223936,False
35Hz12kN,Bearing1_1,54,0.9741408530385043,False
35Hz12kN,Bearing1_1,55,0.9747116904577569,False
35Hz12kN,Bearing1_1,56,0.9739948715771106,False
35Hz12kN,Bearing1_1,57,0.9732080008840016,False
35Hz12kN,Bearing1_1,58,0.9729865113953726,False
35Hz12kN,Bearing1_1,59,0.9735675367843051,False
35Hz12kN,Bearing1_1,60,0.9733690379398702,False
35Hz12kN,Bearing1_1,61,0.9743012146382682,False
35Hz12kN,Bearing1_1,62,0.9742419084454031,False
35Hz12kN,Bearing1_1,63,0.974075651902502,False
35Hz12kN,Bearing1_1,64,0.9732461700698991,False
35Hz12kN,Bearing1_1,65,0.9722462694123069,False
35Hz12kN,Bearing1_1,66,0.9712694000765623,False
35Hz12kN,Bearing1_1,67,0.970827340269361,False
35Hz12kN,Bearing1_1,68,0.9689801142469591,False
35Hz12kN,Bearing1_1,69,0.9675434920153047,False
35Hz12kN,Bearing1_1,70,0.9651658726726138,False
35Hz12kN,Bearing1_1,71,0.9619952460561944,False
35Hz12kN,Bearing1_1,72,0.9585933172891611,False
35Hz12kN,Bearing1_1,73,0.9530364986918176,False
35Hz12kN,Bearing1_1,74,0.9493214368414231,False
35Hz12kN,Bearing1_1,75,0.9417776193461386,False
35Hz12kN,Bearing1_1,76,0.9128810770903293,False
35Hz12kN,Bearing1_1,77,0.8788477543275419,False
