h_rms,h_peak,h_peak2peak,h_kurtosis,h_skewness,h_std,h_energy,h_log_energy,h_mean_abs,h_crest_factor,h_shape_factor,h_iqr,h_freq_centroid,h_spectral_entropy,h_peak_freq1,h_peak_amp1,v_rms,v_peak,v_peak2peak,v_kurtosis,v_skewness,v_std,v_energy,v_log_energy,v_mean_abs,v_crest_factor,v_shape_factor,v_iqr,v_freq_centroid,v_spectral_entropy,v_peak_freq1,v_peak_amp1,h_v_corr,h_v_rms_ratio
7.637138000973209e-05,5.233396072412688e-05,5.2387163327694e-05,0.00040451578473792437,0.00011568017648642127,8.502212133407739e-05,0.00023618646305862968,0.0007122905000869651,0.00013867965271856518,0.00013620898084525378,0.00024787781012491905,0.00010518592462176457,5.110474103560136e-05,0.0004109997695195489,0.00023562092178508465,7.920638327050256e-05,0.000191657347508567,0.00023342763586526872,0.00012404300561001945,0.00028238401773705846,0.00028520248612267095,0.00018649565730584073,0.000204478912058903,0.0007019185544777429,0.00015889127794466162,0.00011467079442581963,0.0005121598080222612,0.00019077463148917673,0.0004122707016449567,0.0001540171655051381,0.0009891929483273997,2.3406643117596103e-05,0.0004428442734933924,0.00022431131419580196
9.194349941026303e-05,4.671104395583825e-05,4.399845158786775e-05,0.0002509024288940509,9.319887267338345e-05,9.33830525355006e-05,0.00026306299086513717,0.0007175881342845969,0.00015704820834798737,0.00017681530189292972,0.00014280211612458516,0.00010642042188919731,7.219918533678538e-05,0.0004022600915050134,0.0002551411660988379,9.227936971001327e-05,0.0002079900374241106,0.00026275597167568776,0.00012900244985303289,0.00028925563838129166,0.00033506463912544857,0.00020008767910439929,0.00020139305482302916,0.0006853674185549608,0.00017269952664094034,0.00011888399906183622,0.0005510100430910825,0.00020413099806333436,0.0006251512138987891,0.0001750680390159687,0.001048277409063303,2.1862640733161242e-05,0.00044688222224067433,0.00027631047187242074
8.847933327160717e-05,5.99269434985672e-05,6.016356824325442e-05,0.00025123842161747236,0.00011698674779836438,9.844456667451595e-05,0.0002667655507764266,0.0011629830405581743,0.00015776697309775046,0.00016771726930073783,0.00014228601403374342,0.00013795285863125173,7.729549188297823e-05,0.0007976606215379433,0.00019084874802501872,9.960516704268229e-05,0.00019830026953400194,0.00022201155564971486,0.0001323060094136963,0.00031824409024920896,0.00027817830286949177,0.00018561954287861228,0.0002121650792616947,0.000957452881266363,0.00016905424231765663,0.00014069697228933365,0.0004960568341516591,0.0002020921721822333,0.0005811226282276038,0.00019878540474564942,0.0010496492948732338,2.4459295161705086e-05,0.0004004985295978258,0.00032672671595719295
9.616923484827567e-05,5.87172751096432e-05,5.5169652518927136e-05,0.0001673950959684589,8.385530697978538e-05,8.833608269469551e-05,0.00026790158468656953,0.0016027725010644644,0.00016255314276349963,0.0001668084485572763,8.648442992580385e-05,0.00014440310496866005,7.264971472977776e-05,0.0010151466383831575,0.00016639993214084825,0.00011200297640243662,0.00020907487541705906,0.00028102921806976154,0.00013759038681087076,0.00031398600094689755,0.00022460683960616733,0.00020195002200011912,0.0002051922438681686,0.0012976709760550876,0.0001721728684884738,0.00014084531076150598,0.0004597631337674102,0.00020384631813641363,0.0003951591390887188,0.00025444491351663543,0.001088179470752948,3.063499540303383e-05,0.00030186071885509593,0.0003074134840971965
9.179448602480988e-05,6.081203286782966e-05,5.8310478539169705e-05,0.00018451699747856765,0.0001014065255390051,9.686143102953793e-05,0.00026349376828420644,0.0014269374245486689,0.00016096094332169742,0.00015489910588257773,9.921421528247265e-05,0.00015181894359557192,7.603283571313568e-05,0.0009668362366937799,0.00013937848144678354,0.00012295073229324772,0.00021401346038487645,0.00029758013741911784,0.00013813936495807866,0.0003115435655672627,0.0002974079765294846,0.00020268142330905902,0.00021424043638944567,0.001129144492733758,0.00017543228888934338,0.00015508838155255943,0.00045251174069562696,0.00020865782580230529,0.0006147528279143444,0.0002052661584002635,0.00101629284399678,2.7920539560000178e-05,0.000293203123328567,0.00032464032901771136
0.00021112822366831097,3.589671517545412e-05,4.508063916546235e-05,0.00025554803387421997,9.57371942604368e-05,0.0001773568933003844,0.00043067348751719693,0.0013306067550729495,0.00033474110259703595,0.00013313143140294414,0.00016049184968665032,0.00012498868095462968,0.00012640087406907697,0.0005553816099563846,0.00017082071196909964,7.264215983013856e-05,0.00037131027155226095,0.0005707553824777278,0.0002901419431964314,0.00032268998729705344,0.0002886154744032865,0.000363121687490775,0.00031197410224876877,0.001253525538049871,0.00030067090519878545,0.0001305436985603592,0.000535440338535409,0.0003345547733601961,0.00031964586255526226,0.00014078516605877666,0.0009616755440220004,2.8793407955163276e-05,0.0004657857702113688,0.00020212821566474305
9.127575362981588e-05,8.78246875458899e-05,8.727868009827944e-05,0.00020784990642823685,0.00010730925232564914,0.00010810453259182395,0.000295367706360139,0.002016922802431509,0.0001768718801031355,0.00018552212782196875,0.00012336611605405777,0.00020190761642879806,8.710153297215583e-05,0.0013614506133308169,0.00015665095590975398,0.00013494923850885244,0.00020456071077319394,0.00025822983136976064,0.00016552863905872073,0.00036581049189408075,0.00019995603136067075,0.00018795713576480466,0.000212099578550351,0.0014702271837450098,0.00017113623417444045,0.00019165494495609892,0.0005155365126483958,0.00020682320403295762,0.0006772790323338995,0.0003404397019039607,0.0011580927010072628,3.5562267362365675e-05,0.0003022729174162464,0.0004385495240057935
0.00012119018820158089,4.768637387542185e-05,4.688054482357984e-05,0.00016974960158790963,8.382175365113653e-05,0.00010247915524814743,0.00032700330988291173,0.0015178373781964184,0.0001964890612725867,0.00016045245633904414,0.00011526029857122921,0.0001223405991368054,7.856976853872765e-05,0.0009401742165209726,0.00019829744328490052,8.289065171993571e-05,0.00026506568558204435,0.00036979127344238805,0.0001807172989281014,0.0003326178892166354,0.00028037603872235197,0.00025897309134705895,0.00023792974393472833,0.001204367032914888,0.00021515593421099765,0.00016417497554357396,0.00047328259333880853,0.0002492339369373431,0.0006734089466590376,0.00021636726378346794,0.0010095972273120423,2.566036631890256e-05,0.0003530338061864313,0.0003643393375568849
0.00011500992595756543,4.815672245612745e-05,4.541224318472814e-05,0.0001640297679841751,9.271798621739436e-05,9.594549414941867e-05,0.00031641667845860866,0.0015154141656239517,0.00018615927532437127,0.00014039051538929925,0.00010069454839936042,0.00011949565077884472,0.00012663125262406537,0.0008708039607881801,0.00018495741033461855,0.00010523412911425111,0.0002500300545001721,0.0003570741413568612,0.00016883048223235165,0.0003391511217159859,0.0002651016903541858,0.0002423944516976917,0.00022839503676550522,0.0012268416117876767,0.00020343542647651702,0.00016660535906112272,0.00047273908021452373,0.00023459328789599,0.0005469726959745457,0.00019369996571185765,0.0010434886822622501,2.3879632550460883e-05,0.00031623818904336076,0.0002891769689085777
8.253661881099105e-05,5.924391805365303e-05,5.517747813428286e-05,0.00016919829579364887,7.965528329805238e-05,8.137441186590877e-05,0.00025594635208676665,0.0011862791456223932,0.00013916951475607676,0.0001318053791692364,9.728275709903755e-05,0.00013510554538243014,0.00013409112025328796,0.0008090796527540078,0.00016695312085630577,0.00010873120181713603,0.00020587885071137179,0.00026539572885440064,0.00015029212041781648,0.00032119739134941485,0.00029695667763007805,0.00019805066288256513,0.0002159217341272779,0.0010041784698842093,0.00016844264287083633,0.00015816293725947616,0.0004714764691016171,0.0001993757920629946,0.0006836986096459441,0.0002122402111581323,0.0010770186883746647,2.6312250224691524e-05,0.00033165135464514607,0.0003490270198199141
